,keywords
3884,"['anonymity', 'radio presenter', 'success', 'dangerous', 'radio transmission', 'independent film']"
3885,"['based on novel', 'photographer', 'baseball', 'dollar', 'remake', 'lawyer', 'millionaire', 'new york yankees', 'hotel suite', 'manhattan, new york city', 'inheritance challenge', 'extravagance', 'interior decorator', 'spending money', 'accounting fraud', 'hackensack new jersey', 'heir to fortune', 'mayoral campaign']"
3886,"['gypsy', 'bare knuckle boxing', 'slang', 'trailer park', 'pig', 'sport', 'receiving of stolen goods', 'cockney accent', 'diamond', 'pikey']"
3887,['stand-up comedy']
3888,['independent film']
3889,"['chocolate', 'mayor', 'praline', 'single', 'mother daughter relationship']"
3890,"['dude', 'amnesia', 'idiot', 'auto', 'friendship', 'cannabis', 'hangover', 'spoof', 'teenager', 'drug', 'alcohol abuse', 'celebration', 'car', 'duringcreditsstinger', 'child']"
3891,"['central and south america', 'birthday', 'emperor', 'palace', 'kingdom', 'berater', 'llama']"
3892,"['artist', 'success', 'relationship problems', 'alcoholism', 'independent film', 'falling in love']"
3893,"['women', 'telepathy', 'supernatural powers', 'advertising executive', 'woman director']"
3894,"['upper class', 'brother brother relationship', 'scotland', 'poetry', 'based on novel', 'mentor', 'becoming an adult', 'professor', 'literature', 'intellectually gifted', 'plagiarism', 'literature competition', 'private school', 'manuscript', 'seclusion', 'pulitzer prize', 'dying and death', 'idol', 'friendship', 'unsociability', 'high school', 'scholarship', 'father figure']"
3895,"['fortune teller', 'dream', 'pond', 'extrasensory perception']"
3896,"['suicide', 'gay', 'new york', 'cuba', 'aids', 'opression', 'totalitarian regime', 'artist', 'hot air balloon', 'exile', 'attempt to escape', 'fidel castro', 'cuban revolution', 'homosexuality', 'author']"
3897,"['exotic island', 'suicide attempt', 'volleyball', 'loneliness', 'airplane crash', 'deserted island', 'tropical island', 'survival skills']"
3898,"['workaholic', 'second chance', 'guardian angel', 'christmas', 'career vs family', 'life reprioritizing']"
3899,[]
3900,"['undercover agent', 'beauty contest', 'terrorism']"
3901,[]
3902,"['prophecy', 'southern usa', 'music record', 'country music', 'mississippi', 'seduction', 'musical', 'fraud']"
3903,"['musical', 'independent film', 'woman director']"
3904,"['film making', 'small town', 'movie in movie', 'statutory rape', 'new england', 'amateur theater']"
3905,"['vampire', 'dracula', 'bite', 'blood', 'vlad', 'fang vamp']"
3906,"['dancing', 'chess', 'prisoner', 'coffin', 'wrong accusal', 'ranch', 'airplane', 'beating', 'jail', 'rifle', 'corpse', 'lasso', 'cautery']"
3907,"['toupee', 'scalper']"
3908,"['usa president', 'atomic bomb', 'john f. kennedy', 'kubakrise', 'threat']"
3909,"['usa', 'war on drugs', 'drug traffic', 'drug dealer', 'drug smuggle', 'addicted', 'police operation', 'united states–mexico barrier', 'addiction', 'drug lord']"
3910,[]
3911,"['film director', 'dracula', '\xa0nosferatu']"
3912,"['con man', 'fraud', 'gambling debts', 'noir']"
3913,"['psychopath', 'femme fatale', 'bag of money', 'neo-noir']"
3914,"['santa claus', 'musical', 'based on comic', 'based on play or musical', 'microphone', 'little girl', 'orphan', 'whistle', ""child's point of view"", 'chrysler building', 'rockettes', 'locket']"
3915,"['babysitter', 'mom on holiday', 'children home alone']"
3916,"[""love of one's life"", 'navy', 'officer']"
3917,"['texas', 'assault', 'alamo', 'mexican', 'mexican army']"
3918,"['rape', '1970s', 'gun', 'sociopath', 'drug']"
3919,"['corruption', 'judge', 'truck driver']"
3920,"['prisoner', 'train ride', 'governor', 'army', 'u.s. marshal', 'train']"
3921,"['indiana', 'slavery', 'faith', 'religion', 'quaker']"
3922,"['civil war', 'independence', 'troops', 'army', 'battle', 'union soldier', 'confederate soldier', 'american civil war']"
3923,"['indiana', 'hustler', 'father', 'coming of age']"
3924,[]
3925,"['upper class', 'exorcism', 'plantation', 'suspense', 'social satire']"
3926,"['technology', 'garage', 'hacker', 'male friendship', 'microchip', 'minidisc', 'computer', 'company', 'friendship bracelet', 'suspense', 'business start-up', 'computer expert', 'childhood friends', 'betrayal by friend']"
3927,"['mexico', 'cia', 'fbi', 'train']"
3928,"['ballet dancer', 'musical', 'ballet']"
3929,"['dark comedy', 'independent film', 'criminal']"
3930,"['promise', 'murder', 'drawing', 'porcupine', 'pledge', 'retirement party', 'criminal profile']"
3931,[]
3932,[]
3933,[]
3934,[]
3935,[]
3936,"['independent film', 'commitment', 'lobster', 'portuguese american']"
3937,"['love at first sight', 'body exchange']"
3938,"['orderly', 'right and justice', 'vigilante', 'blaxploitation', 'afro', 'illegal drugs']"
3939,"['blaxploitation', 'drug use', 'prostitution', 'afro']"
3940,"['pimp', 'hero', 'ghetto', 'clowning', 'black humor', 'blaxploitation']"
3941,"['love', 'tragedy', 'orphan', 'baboon']"
3942,"['rebel', 'american football', 'robbery', 'bank', 'mask', 'cheerleader', 'high school', 'love', 'money', 'teenager', 'pregnancy', 'quarterback', 'woman director', 'guns', 'squad']"
3943,"['skab under tv', 'foran', 'nederste hylde']"
3944,['woman director']
3945,[]
3946,"['adultery', 'woman director']"
3947,"['paris', 'suicide', 'europe', 'father', 'sister', 'independent film']"
3948,"['resistance', 'german democratic republic']"
3949,[]
3950,[]
3951,['suspense']
3952,"['usa president', 'sport', 'nuclear weapons', 'little league', 'exploding airplane']"
3953,"['tv addicted person', 'television', 'spoof', 'campy']"
3954,"['baby', 'yuppie', 'career woman', 'relationship problems', 'starting over']"
3955,"['spoof', 'woman director', 'beach movie']"
3956,"['bartender', 'career', 'alcoholism', 'independent film', 'alcohol abuse']"
3957,"['new york', 'bomb', 'california', 'robbery', 'detective', 'texas', 'attempted murder', 'police', 'sociopath', 'murder', 'suspense', 'heist', 'serial killer', 'author', 'gunfight', 'writer', 'police detective', 'exploding car', 'car explosion', 'nixon']"
3958,"['smuggling of arms', 'detective', 'intensive care', 'undercover', 'strip club', 'armored car', 'investigation', 'police', 'swimming pool', 'sequel', 'shootout', 'gunfight', 'los angeles', 'explosion', 'violence', 'car chase', 'detroit', 'horse track', 'beverly hills', 'buddy cop', 'oil field', 'cement truck', 'playboy mansion', 'shooting range']"
3959,"['california', 'showdown', 'undercover', 'strip club', 'investigation', 'weapon', 'police', 'smuggling', 'swimming pool', 'gunfight', 'mansion', 'los angeles', 'foot chase', 'art gallery', 'car chase', 'warehouse', 'beverly hills', 'buddy comedy', 'country club', 'maverick cop', 'detroit michigan', 'damsel in distress', 'bar fight']"
3960,"['corruption', 'investigation', 'police', 'murder', 'gang']"
3961,"['kids', 'interracial friendship']"
3962,"['gambler', 'craps']"
3963,"['immigration', 'east los angeles', 'south-of-the-border']"
3964,"['growing up', 'coming of age', 'lost', 'journey', 'personification', 'inanimate objects coming to life', 'toaster']"
3965,[]
3966,"['android', 'wilderness', 'post-apocalyptic', 'dystopia', 'tracker', 'robot']"
3967,"['prostitute', 'rape', 'based on novel', 'sports car', 'homophobia', 'shotgun', 'coffee', 'machinegun', 'pizza', 'daughter', 'police', 'psychopath', 'high school', 'stalker', 'dysfunctional family', 'shootout', 'police officer killed', 'feminist', 'dirty cop', 'officer involved shooting', 'male prostitute', 'rogue cop', 'vulgarity', 'poetry quote', 'crime scene', 'burglary', 'mercilessness', 'internal affairs', 'writing in blood', 'cigarette smoking', 'drug dealing', 'police corruption', 'school yearbook', 'family abandonment', 'payphone', 'los angeles', 'neo-noir']"
3968,"['hurricane', 'con artist']"
3969,"['journalist', '1970s', 'male friendship', 'south africa', 'apartheid']"
3970,[]
3971,['suspense']
3972,['dinner party']
3973,[]
3974,['independent film']
3975,"['punk', 'party']"
3976,"['stand-up comedy', 'live comedy']"
3977,"['japan', 'stadium', 'harmonica', 'bravery', 'peasant', 'pow', 'japanese occupation', 'sergeant', 'photograph', 'chinese', 'japanese army', 'japanese soldier', 'japanese surrender', 'footprint', 'wreath', 'potato', 'salt mine', 'oxen', 'boy soprano', 'aircraft explosion', 'pick axe']"
3978,['ernest p. worrell']
3979,"['falsely accused', 'beheading', 'audio tape', 'log cabin', 'chain saw', 'giant plant', 'aggression by plant', 'lodge', 'friends', 'stop motion', 'evil', 'occult', 'book of the dead', 'necronomicon', 'demonic possession', 'video nasty', 'unofficial remake']"
3980,"['robbery', 'texas', 'mexican standoff', 'texas ranger', 'organized crime', 'violence', 'drug', 'kingpin', 'modern western', 'neo-noir']"
3981,"['father son relationship', 'hotel', 'grandmother grandson relationship', 'videoband', 'video surveillance', 'dysfunctional family']"
3982,"['new york', 'prison', 'alcohol', 'rape', 'love', 'theft', 'violence', 'city', 'hate', 'bronx']"
3983,[]
3984,"['cold war', 'agent']"
3985,"['vietnam veteran', 'washington d.c.', 'cemetery', 'vietnam war', 'soldier']"
3986,[]
3987,['based on play or musical']
3988,[]
3989,"['high school', 'youth']"
3990,"['black people', 'ethnic stereotype']"
3991,"['london england', 'wartime']"
3992,"['boat', 'chase', 'girlfriend', 'smuggling', 'rescue']"
3993,"['small town', 'train accident']"
3994,"['california', 'beach', 'sale of soul', 'nerd', 'pact with the devil', 'teen movie']"
3995,"['experiment', 'shrinking', 'blood']"
3996,[]
3997,"['wilderness', 'sahara', 'beautiful woman', 'singer', 'escape', 'woman director']"
3998,"['shark attack', 'bahamas', 'dying and death', 'aggression by animal', 'sequel', 'revenge', 'underwater', 'shark', 'great white shark', 'animal attack', 'caribbean', 'christmas', 'banana boat']"
3999,['spy']
4000,"['self-destruction', 'los angeles', 'hedonism', 'beverly hills', 'decadence']"
4001,"['role reversal', 'high school', 'remake', 'doctor', 'high school friends', 'body-swap', 'child as an adult', 'childbirth', 'adult as a child']"
4002,"['street gang', 'small town', 'vampire', 'comic book', 'boardwalk', 'single', 'amusement park', 'mother son relationship']"
4003,['heaven']
4004,"['wish', 'party', 'maid', 'woman director', 'fairy godmother', 'weird couple']"
4005,['woman director']
4006,"['new love', 'department store', 'mannequin', 'transformation', 'puppet', 'romantic comedy', 'teenager', 'window dresser']"
4007,"['saving the world', 'hero', 'key', 'skeleton', 'time travel', 'wretch', 'supernatural powers', 'aftercreditsstinger', 'sword and planet']"
4008,['comedy']
4009,"['mummy', 'dracula', 'wolfman', 'sea monster', ""frankenstein's monster""]"
4010,[]
4011,"['boarding school', 'boyfriend girlfriend']"
4012,['demon']
4013,"['car thief', 'rookie cop']"
4014,['surfing']
4015,"['supermodel', 'stalking', 'models']"
4016,"['the rapture', 'christian film']"
4017,"['mobbing', 'success', 'violence against women', 'revenge', 'serial killer', ""valentine's day""]"
4018,"['adultery', 'lovesickness', 'martial arts', 'newspaper', 'wife husband relationship', 'married couple', 'shanghai', 'deceived husband', 'forbidden love', 'marriage crisis', 'secret love', 'neighbor', 'author', 'hong kong', 'extramarital affair']"
4019,[]
4020,"['hotel', 'confidence', 'junkie', 'book', 'friendship', 'insanity', 'los angeles', 'drug', 'fbi agent']"
4021,"['gay', 'sea', 'coming out', 'first time', 'best friend', 'summer vacation']"
4022,"['venice', 'brain', 'suspense', 'serial killer', 'fbi agent', 'aftercreditsstinger']"
4023,"['female nudity', 'harassment', 'male friendship', 'dark comedy', 'director cameo', 'duringcreditsstinger']"
4024,[]
4025,"['infidelity', 'cheating', 'staging', 'lover', 'theatre play', 'theatre milieu', 'learning and teaching', 'partnership', 'relationship', 'extramarital affair', 'unhappiness', 'woman director', 'teachers and students']"
4026,"['france', 'cook', 'prince']"
4027,[]
4028,"['holiday', 'elementary school', 'friends', 'based on tv series', 'summer', 'classmates', 'recess']"
4029,"['workaholic', 'dogsitter']"
4030,['duringcreditsstinger']
4031,[]
4032,"['parallel world', 'organ donation', 'horniness agent', 'aftercreditsstinger']"
4033,"['casino', 'submachine gun', 'hold-up robbery', 'elvis', 'reference to elvis presley', 'duringcreditsstinger']"
4034,"['france', 'island', 'fisherman', 'love', 'revenge', 'murder', 'execution', '19th century']"
4035,"['kidnapping', 'pistol']"
4036,['dog']
4037,"['sport', 'drama', 'christian film']"
4038,['woman director']
4039,['love triangle']
4040,[]
4041,"['new york', 'female nudity', 'prison', 'prostitute', 'rape', 'robbery', 'fire', 'detective', 'airport', 'shotgun', 'prisoner', 'ex-detainee', 'attempted murder', 'paranoia', 'russian', 'eastern europe', 'video', 'knife', 'fistfight', 'police', 'thief', 'revenge', 'video camera', 'escape', 'breast', 'dead body', 'lawyer', 'shot to death', 'torture', 'fear', 'new york city', 'urination', 'violence', 'home invasion', 'criminal', 'police detective', 'death', 'drunk', 'nypd', 'news report', 'gun violence', 'graveyard', 'death of boyfriend']"
4042,"['theatre play', 'theatre group', 'high school', 'falling in love']"
4043,['independent film']
4044,[]
4045,['woman director']
4046,['simon magus']
4047,[]
4048,"['usa', 'russia', 'jew', 'rabbi', 'synagogue', 'bar mitvah', 'emigrant']"
4049,['independent film']
4050,[]
4051,"['detective', 'death', 'movie star', 'murder mystery']"
4052,"['great depression', 'drifter']"
4053,"['prostitution', 'crime']"
4054,['woman director']
4055,"['blackmail', 'music video']"
4056,"['dance', 'gang', 'teenager', 'gangster']"
4057,"['independent film', 'gossip', 'ex-con']"
4058,"['holiday', 'bishop', 'christmas time']"
4059,"['concert', 'elvis presley', 'back stage']"
4060,"['usa', 'american football', 'brother-in-law', 'wheelchair', 'honesty', 'cinematographer', 'insurance fraud', 'shadowing', 'fortune cookie', 'ex-wife']"
4061,"['farm life', 'nuns']"
4062,"['musical', 'biography']"
4063,"['jesus christ', 'biography', 'epic']"
4064,"['evangelist', 'revivalism']"
4065,"['womanizer', 'playboy']"
4066,['gladiator']
4067,[]
4068,[]
4069,"['life and death', 'scotland yard', 'loss of lover', 'mask', 'pest', 'wife', 'organ', 'inspector', 'revenge', 'murder', 'dark comedy', 'mute', 'mad doctor', 'religion', 'camp', 'doctor', 'biblical plagues', 'dr. phibes', 'organ player']"
4070,"['mutant', 'greenhouse', 'carnivorous plant', 'radioactive', 'h.p. lovecraft']"
4071,['reality show']
4072,"['clone', 'hitman', 'outer space', 'robot', 'explosion']"
4073,"['prison', 'prisoner', 'murder']"
4074,"['loss of parents', 'karate', 'fighter', 'revenge', 'hong kong', 'twins', 'hoodlum']"
4075,['dark comedy']
4076,['blackmail']
4077,"['corruption', 'harley davidson', 'drug dealer', 'los angeles', 'las vegas']"
4078,"['male nudity', 'female nudity', 'mexico', 'prostitute', 'nudity', 'high school', 'locker room', 'independent film', 'teen sex comedy', 'teenager', 'canuxploitation', 'virginity']"
4079,"['dress', 'swimming', 'kennedy assassination', 'polka dot', 'aspiring nun', 'gynecological exam', 'jewish girl', 'shoe salesman', 'polka dot dress', 'roman catholic', 'bell ringing', 'reference to joan of arc', 'bell tower', '1960s']"
4080,"['romantic comedy', 'suspense', 'witty', 'whodunit']"
4081,[]
4082,['biography']
4083,"['loss of family', 'covered investigation', 'eye', 'full moon', 'investigation', 'psychopath', 'psychoterror', 'serial killer', 'fbi agent']"
4084,['biography']
4085,"['egypt', 'hercule poirot', 'shipboard', 'murder mystery']"
4086,"['ocean', 'sea', 'deep sea', 'water monster', 'scuba diving', 'scuba', 'trapped underwater\xa0']"
4087,"['sex', 'defenestration', 'funhouse', 'boy with glasses', 'breathing fire', 'pie eating']"
4088,"['nerd', 'vacation', 'farce', 'jock', 'frame up', 'defector']"
4089,"['gay', 'aids', 'hiv', 'lgbt', 'lgbt history']"
4090,[]
4091,"['sex', 'police', 'friends', 'murder']"
4092,[]
4093,"['prison', 'american football', 'sport']"
4094,"['american football', 'sport']"
4095,"['monster', 'mutant', 'shower', 'police', 'blood splatter', 'toxic', 'independent film', 'gore', 'decapitation', 'blood', 'zombie', 'new york city', 'cannibal', 'police detective', 'flamethrower', 'bum', 'sewer', 'police investigation', 'nuclear waste', 'hobo']"
4096,"['winter', 'sniper', 'world war ii', 'stalingrad']"
4097,"['corruption', 'scandal', 'shadowing', 'police']"
4098,"['nasa', 'australia', 'moon landing', 'independent film', 'moon walk']"
4099,"['individual', 'insulin', 'tattoo', 'waitress', 'amnesia', 'motel', 'insurance salesman', 'revenge', 'memory loss', 'polaroid', 'flashback', 'neo-noir']"
4100,"['independent film', 'track and field', 'gangster rap']"
4101,['cons and scams']
4102,[]
4103,[]
4104,"['feminism', 'cohabitant', 'tv show', 'man-woman relation', 'man between two women']"
4105,"['double life', 'parent child relationship', 'brother sister relationship', 'loss of parents', 'secret agent', 'robot']"
4106,"['compulsive gambling', 'roulette', 'stag night', 'group of friends']"
4107,"['dancing', 'spy', 'birthday', 'map', 'fireworks', 'bridge', 'secret agent', 'president', 'children', 'independent film', 'debt', 'swimming', 'political', 'band']"
4108,"['homeless person', 'mexico city', 'daughter', 'secret love', 'dogfight', 'money', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema']"
4109,"['cultural difference', 'woman director']"
4110,['woman director']
4111,"['psychology', 'police operation', 'police', 'psychologist']"
4112,"['1970s', 'war on drugs', 'drug addiction', 'drug traffic', 'drug smuggle', 'rise and fall']"
4113,"['time travel', 'remake', 'alternate history', 'dragon', 'remake of french film', 'alternate timeline', 'flatulence']"
4114,"['mountain', 'mountain village', 'friendship', 'based on tv series', 'young boy', 'pokémon', 'best friend', 'fighting', 'based on video game', 'pikachu', 'anime']"
4115,"['sexual abuse', 'self-defense', 'sadism', 'violence against women', 'psychological abuse', 'suspense', 'drug']"
4116,[]
4117,['woman director']
4118,[]
4119,"['holiday', 'london england', 'england', 'alcohol', 'sex', 'lovesickness', 'telecaster', 'birthday', 'christmas party', 'news broadcast', 'sexual frustration', 'diary', 'cigarette', 'daughter', 'mother daughter relationship', 'lawyer', 'reporter', 'extramarital affair', 'duringcreditsstinger', 'woman director', 'christmas']"
4120,"['parent child relationship', 'loss of parents', 'looking for  birth parents', 'meteorite', 'janitor', '\xa0', 'woman director']"
4121,"['manager', 'pop', 'secret', 'small town', 'garage', 'musician', 'music', 'friendship', 'industry', 'fame', 'conspiracy', 'subliminal\xa0', 'rock band', 'culture', 'woman director', 'messages', 'fortune', 'record deal', 'popular', 'pawns']"
4122,[]
4123,"['israel', 'rome', 'doubt', 'archeology\xa0']"
4124,"['tattoo', 'kidnapping', 'gangster boss', 'delinquent', 'psychopathic killer', 'independent film', 'hoodlum']"
4125,[]
4126,[]
4127,"['crocodile', 'traffic jam', 'los angeles', 'stolen painting']"
4128,"['wheelchair', 'slacker', 'sausage']"
4129,"['sex', 'eroticism', 'unsimulated sex']"
4130,[]
4131,"['friendship', 'love']"
4132,"['italy', 'chess', 'based on novel', 'independent film', 'chess tournament', 'woman director', '1920s']"
4133,[]
4134,"['love triangle', 'gay', 'lovesickness', 'bishop', 'unrequited love', 'homosexuality', 'based on play or musical', 'gay relationship', 'gay interest', 'tragic love', 'in the closet', 'crime', 'gay sex', 'gay man', 'homoeroticism', 'lgbt', 'love crime', 'lovesick', 'tragic death', 'tragic romance', 'tragic male character', 'love story', 'tragic love story']"
4135,"['miami', 'corruption', 'capitalism', 'cuba', 'prohibition', 'brother sister relationship', 'loss of sister', 'cocaine', 'cult film', 'bitterness']"
4136,"['rehabilitation', 'father-in-law', 'party', 'secretary', 'violence', 'drinking', 'alcoholic', 'in-laws', 'public relations']"
4137,"['competition', 'running', 'career', 'idol', 'racing car']"
4138,"['vampire', 'full moon', 'poster', 'hitchhiker', 'homoeroticism', 'newspaper headline', 'vampire slayer', 'switchblade', 'gun in mouth', 'film canister', 'playing chicken', 'blood sucking', 'traffic violation', 'virus']"
4139,"['conspiracy of murder', 'neo-noir']"
4140,"['architect', 'cellist', 'friends', 'anniversary']"
4141,[]
4142,"['son', 'ancient egypt', 'bracelet']"
4143,['serial killer']
4144,['swimming pool']
4145,"['beach', 'wife husband relationship', 'sadness', 'disappearance']"
4146,"['ancient rome', 'historical figure', 'cleopatra', 'julius caesar']"
4147,"['kingdom', 'lightsaber', 'cult favorite', 'dead body', 'magical object', 'fortress', 'doppelganger', 'cyclops', 'changeling']"
4148,"['gambling', 'yuppie', 'roulette', 'satire', 'winnebago', 'new york city', 'las vegas', 'fired from the job', 'recreational vehicle', 'road movie', 'hoover dam', 'crossing guard', 'nest egg']"
4149,"['central and south america', 'professor', 'dinosaur']"
4150,['woman director']
4151,[]
4152,"['sex', 'based on novel', 'nudity', 'pregnancy and birth', 'paternity', 'childlessness', 'wrestling', 'fellatio', 'love', 'wrestler', 'writer', 'typewriter', 'transsexual']"
4153,"['california', 'sex', 'obsession', 'seduction', 'satire']"
4154,"['ancient rome', 'kaiser nero', 'wedding', 'roman bath']"
4155,"['rome', 'subway', 'theatre milieu', 'illegal prostitution', 'child']"
4156,['riverboat']
4157,"['ex-detainee', 'cook', 'restaurant', 'greek', 'love', 'diner']"
4158,"['child abuse', 'widow', 'biography', 'family relationships', ""child's point of view""]"
4159,['paris']
4160,"['unsimulated sex', 'new french extremism']"
4161,"['italy', 'ladykiller', 'feminism', 'empowerment', 'train ride', 'man-woman relation']"
4162,"['dancer', 'entertainer', 'concert']"
4163,[]
4164,"['factory', 'single mother', 'union', 'labor', 'textile worker']"
4165,"['rivalry', 'family vacation', 'suffering parent', 'time off', 'run down house']"
4166,['dr. seuss']
4167,['mafia']
4168,"['based on novel', 'harvard university', 'college', 'drama', 'cancer', 'tragic love', 'class differences', 'string ensemble', 'telephone box', 'lapsed catholic', 'trying to get pregnant', 'snow angel', 'rich man - poor woman']"
4169,"['skab under tv', 'bagved', 'Øverste hylde']"
4170,"['italian', 'jewelry', 'safe', 'night club', 'burglary', 'newspaper stand', 'rough', 'silhouetted dancer', 'cigarette lighter', 'tuberculosis', 'cleaners']"
4171,"['poetry', 'knight', 'tournament', 'duel', 'torture', 'writer', 'impostor', 'church', 'game', 'jousting', 'aftercreditsstinger']"
4172,"['socialism', 'politics', 'janitor']"
4173,[]
4174,"['shakespeare', 'tourist', 'theatre milieu', 'namibia', 'independent film', 'dogme 95', 'foreign']"
4175,"['gay', 'southern usa', 'texas', 'dysfunctional family', 'dark comedy', 'homosexuality', 'based on play or musical', 'southern baptist', 'independent film', 'trailer trash', 'drag']"
4176,"['friendship', 'internet', 'business start-up', 'woman director']"
4177,"['car crash', 'police officer']"
4178,"['magic', 'liberation', 'lordship', 'castle', 'robin hood', 'enchantment', 'fairy-tale figure', 'princess', 'parody', 'woman director', 'ogre']"
4179,['independent film']
4180,"['duke', 'musical', ""writer's block"", 'music', 'terminal illness', 'writer', 'no opening credits', 'moulin rouge', 'bohemian', 'toulouse lautrec', 'red curtain', 'cancan dance', 'la traviata', 'orpheus and eurydice', 'dance hall']"
4181,[]
4182,"['nurse', 'patriotism', 'hawaii', 'world war ii', 'pilot', 'pearl harbor', 'u.s. air force', 'airplane', 'war', 'army', 'love', 'pin-up']"
4183,[]
4184,"['nepal', 'himalaya', 'trek', 'yak']"
4185,"['dancing', 'france', 'usa', 'england', 'gypsy', 'russia', 'singer', 'jewish', 'united kingdom', 'woman director']"
4186,['independent film']
4187,[]
4188,['sport']
4189,"['new love', 'affection']"
4190,['hollywood']
4191,"['apache', 'geronimo']"
4192,"['wild west', 'wild west show', 'buffalo bill']"
4193,"['men', 'stetson', 'vacation', 'prairie']"
4194,"['baseball', 'sport', 'historical figure']"
4195,"['war hero', 'cavalry', 'standoff', 'confederate']"
4196,"['texas', 'frontiersman']"
4197,"['party', 'hospital', 'writer', 'socialite party']"
4198,"['suicide', 'ku klux klan', 'mississippi', 'sheriff', 'shotgun', 'deputy sheriff', 'fbi', 'motel', 'funeral', 'u.s. navy', 'victim of murder', 'burning cross', 'police', 'rope', 'racism', 'violence', 'fbi agent', 'based on true events']"
4199,"['horse', 'village', 'friendship', 'remake', 'bandit', 'farmer', 'cowboy', 'mexican', ""white man's burden"", 'henry rifle', 'hired gun']"
4200,"['mexico', 'horseback riding', 'male friendship', 'sequel']"
4201,"['sheriff', 'small town', 'gun', 'marshal', 'deputy', 'murder', 'jail', 'stagecoach', 'gambler', 'cripple', 'gunfighter', 'two guns belt']"
4202,"['based on novel', 'russia', 'royal family', 'biography', 'royalty', 'empress', '18th century', 'catherine the great']"
4203,"['american football', 'sport', 'american football player']"
4204,"['jurors', 'government', 'right and justice', 'lawyer', 'courtroom']"
4205,"['mother', 'murder', 'train', 'ex-wife']"
4206,"['business man', 'daughter', 'pool', 'wedding', 'family']"
4207,['scavenger hunt']
4208,"['night watchman', 'danish horror']"
4209,"['missionary', 'china', 'u.s. navy', 'chinese', 'battle', 'gunboat']"
4210,"['world war ii', 'u.s. air force', 'military base', 'nazi germany']"
4211,"['italian', 'prisoners of war', 'german', 'frontier', 'escape', 'pow', 'train']"
4212,"['dream', 'employee', 'car crash', 'scientist', 'police officer', 'organ donation', 'aftercreditsstinger', 'virility']"
4213,"['business man', 'master thief', 'thief', 'ring']"
4214,"['gay', 'montana', 'independent film', 'gay relationship', 'native american']"
4215,"['grand canyon', 'governor', 'shampoo', 'high school teacher', 'fire truck', 'government scientist', 'napalm', 'primate', 'parasite underneath skin']"
4216,"['female nudity', 'hacker', 'terrorism', 'violence', 'ex-con', 'wire', 'los angeles international airport (lax)', 'misdirection', 'aftercreditsstinger']"
4217,"['infidelity', 'ecstasy', 'party', 'independent film', 'woman director']"
4218,"['painter', 'composer', 'biography', 'independent film']"
4219,[]
4220,[]
4221,"['world war ii', 'island', 'bomber', 'pianosa', 'american']"
4222,"['new zealand', 'interview', 'spanish civil war', 'film history', 'satire', 'independent film', 'mockumentary', 'photograph', 'director', 'filmmaking', 'faked footage']"
4223,"['surfer', 'undercover', 'wave', 'surfboard', 'self-destruction', 'self-discovery', 'parachute', 'police operation', 'parachuting', 'moral conflict', 'los angeles', 'fbi agent', 'woman director']"
4224,"['beach', 'summer', 'boyfriend']"
4225,"['vietnam veteran', 'loss of son', 'vietnam', 'vietnam war', 'laos', 'suspense']"
4226,"['corruption', 'prostitute', 'sex', 'jealousy', 'fight', 'nightclub', 'nudity', 'police', 'stalker', 'murder', 'suspense', 'escape', 'lawyer', 'los angeles', 'motorcycle', 'violence', 'drug', 'anger', 'death', 'argument', 'alarm', 'psycho', 'voyeur', 'neo-noir', 'abuse']"
4227,"['frustration', 'sport', 'ice hockey', 'coach', 'beating', 'hazing', 'locker room']"
4228,"['paris', 'father son relationship', 'robbery', 'diamant', 'revuegirls', 'double wedding', 'musical', 'jewelry', 'millionaire']"
4229,"['luxury', 'mannequin', 'musical']"
4230,"['nurse', 'mother', 'based on novel', 'widow', 'investigation', 'daughter', 'father', 'sister', 'buried alive', 'doctor', 'preacher']"
4231,"['adultery', 'wife husband relationship', 'subway', 'married couple', 'marriage contract', 'neighbor']"
4232,"['dancer', 'show business', 'musical', 'singer', 'cinemascope', 'vaudeville', 'song and dance', 'musical revue', 'broadway actress']"
4233,"['infidelity', 'love', 'friends', 'cross dressing', 'reputation', 'unemployed actor', 'serenade', 'apology', 'live television', 'actress', 'actor']"
4234,"['holiday', 'sex', 'gun', 'murder', 'independent film', 'serial killer', 'los angeles', 'brutality', 'violence', 'killing spree', 'cult film', 'hate crime', 'woman director']"
4235,"['japanese', 'world war ii', 'british army', 'philippines', 'jungle', 'infantry', 'pacific island']"
4236,['woman director']
4237,[]
4238,"['sea', 'atlantis', 'animation', 'underwater', 'sea monster']"
4239,"['treasure', 'buddhist monk', 'planetary configuration', 'angkor wat', 'illuminati', 'william blake', 'treasure hunt', 'archaeologist', 'based on video game', 'archeology\xa0']"
4240,"['veterinarian', 'forest', 'bear', 'animal', 'animal protection']"
4241,"['street gang', 'car race', 'undercover', 'auto-tuning', 'los angeles', 'car', 'automobile racing', 'aftercreditsstinger', 'duringcreditsstinger']"
4242,"['artificial intelligence', 'prophecy', 'prostitute', 'android', 'loss of mother', 'extraterrestrial technology', 'ice age', 'adoption', 'fairy tale', 'pinocchio', 'prosecution', 'gigolo', 'hologram', 'dystopia', 'alien', 'destiny', 'capture', 'doppelganger']"
